x y theta v w
-1.01165 0.72191 5.2277 0.259849 0.541851
-0.998488 0.698666 5.27682 0.267127 0.49118
-0.983779 0.675435 5.32129 0.274967 0.444726
-0.967576 0.652197 5.36155 0.283297 0.402524
-0.949922 0.628933 5.39799 0.292035 0.364413
-0.930858 0.605627 5.431 0.301099 0.330121
-0.910423 0.582262 5.46093 0.310408 0.29932
-0.888652 0.558825 5.4881 0.319883 0.271668
-0.865584 0.535304 5.51278 0.329451 0.246826
-0.841253 0.511692 5.53523 0.339045 0.22448
-0.815697 0.487983 5.55566 0.348601 0.204337
-0.788957 0.464171 5.57428 0.358061 0.186137
-0.76107 0.440254 5.59124 0.367375 0.169646
-0.73208 0.416233 5.60671 0.376493 0.154657
-0.702029 0.392106 5.62081 0.385372 0.140987
-0.670963 0.367877 5.63365 0.393972 0.128478
-0.638929 0.343548 5.64535 0.402257 0.116988
-0.605975 0.319123 5.65599 0.410194 0.106394
-0.57215 0.294606 5.66565 0.417751 0.0965873
-0.537508 0.270003 5.6744 0.424903 0.087472
-0.5021 0.24532 5.68229 0.431623 0.0789637
-0.465981 0.220563 5.68939 0.437888 0.0709872
-0.429208 0.195738 5.69574 0.443679 0.0634759
-0.391837 0.170855 5.70138 0.448975 0.0563699
-0.353927 0.145919 5.70634 0.453759 0.0496154
-0.315537 0.120939 5.71065 0.458018 0.0431638
-0.276726 0.0959242 5.71435 0.461736 0.0369705
-0.237557 0.0708823 5.71745 0.464902 0.0309949
-0.19809 0.0458223 5.71997 0.467506 0.0251991
-0.158389 0.0207533 5.72193 0.469539 0.0195476
-0.118515 -0.00431544 5.72333 0.470993 0.014007
-0.0785328 -0.0293745 5.72418 0.471862 0.00854534
-0.0385053 -0.0544142 5.72449 0.472143 0.0031315
0.00150351 -0.0794248 5.72427 0.47183 -0.00226485
0.0414298 -0.104396 5.7235 0.470923 -0.00767384
0.0812096 -0.129319 5.72219 0.469422 -0.0131258
0.120779 -0.154182 5.72032 0.467325 -0.0186516
0.160075 -0.178976 5.71789 0.464637 -0.024283
0.199034 -0.203689 5.71489 0.461359 -0.0300534
0.237592 -0.228311 5.71129 0.457497 -0.0359976
0.275689 -0.252832 5.70707 0.453055 -0.0421533
0.313261 -0.27724 5.70222 0.448042 -0.0485606
0.350248 -0.301523 5.69669 0.442465 -0.0552633
0.38659 -0.325672 5.69046 0.436333 -0.0623094
0.422226 -0.349674 5.68349 0.429658 -0.0697518
0.4571 -0.373517 5.67572 0.42245 -0.0776492
0.491153 -0.397189 5.66711 0.414724 -0.0860674
0.524329 -0.420677 5.65761 0.406492 -0.0950798
0.556573 -0.443969 5.64713 0.397772 -0.104769
0.587832 -0.467052 5.63561 0.388579 -0.11523
