x y theta v w
-0.958924 0.74809 5.22774 0.230166 0.515645
-0.946814 0.727913 5.27685 0.240538 0.467071
-0.933189 0.707445 5.32132 0.251256 0.422771
-0.91807 0.686694 5.36157 0.262226 0.382667
-0.901484 0.665669 5.39801 0.27336 0.346529
-0.883455 0.644377 5.43102 0.284583 0.314051
-0.864012 0.622827 5.46095 0.295826 0.284892
-0.843188 0.601028 5.48812 0.307026 0.258709
-0.821014 0.578989 5.5128 0.318129 0.235174
-0.797527 0.556718 5.53524 0.329085 0.213983
-0.772764 0.534225 5.55568 0.339848 0.19486
-0.746765 0.511518 5.57429 0.350377 0.177558
-0.719572 0.488606 5.59125 0.360634 0.161855
-0.691227 0.465499 5.60672 0.370585 0.14756
-0.661776 0.442205 5.62081 0.380199 0.1345
-0.631267 0.418735 5.63366 0.389446 0.122527
-0.599747 0.395097 5.64536 0.398299 0.111508
-0.567269 0.371302 5.656 0.406735 0.101329
-0.533882 0.347357 5.66566 0.414729 0.0918859
-0.499642 0.323274 5.6744 0.422262 0.0830905
-0.464602 0.299062 5.6823 0.429314 0.0748629
-0.428819 0.27473 5.6894 0.435869 0.0671323
-0.39235 0.250287 5.69574 0.441909 0.0598357
-0.355254 0.225745 5.70138 0.447422 0.0529164
-0.317589 0.201113 5.70634 0.452393 0.0463235
-0.279415 0.1764 5.71066 0.456812 0.0400103
-0.240795 0.151617 5.71435 0.460668 0.0339346
-0.20179 0.126772 5.71745 0.463953 0.028057
-0.162462 0.101878 5.71997 0.466659 0.0223411
-0.122874 0.0769421 5.72193 0.468781 0.0167525
-0.0830894 0.0519758 5.72333 0.470313 0.0112584
-0.0431719 0.0269887 5.72418 0.471253 0.00582762
-0.0031853 0.00199082 5.72449 0.471598 0.000429377
0.0368064 -0.0230079 5.72427 0.471348 -0.00496647
0.0767392 -0.0479974 5.7235 0.470502 -0.0103901
0.116549 -0.0729677 5.72219 0.469064 -0.0158719
0.156173 -0.0979088 5.72032 0.467036 -0.0214434
0.195547 -0.122811 5.71789 0.464422 -0.0271368
0.234607 -0.147664 5.71489 0.461229 -0.0329862
0.273293 -0.172457 5.71129 0.457464 -0.0390278
0.311541 -0.197182 5.70707 0.453134 -0.0453004
0.349291 -0.221828 5.70221 0.44825 -0.0518458
0.386483 -0.246385 5.69669 0.442823 -0.0587098
0.423055 -0.270844 5.69046 0.436866 -0.0659427
0.458951 -0.295194 5.68348 0.430392 -0.0736001
0.494113 -0.319426 5.67572 0.423418 -0.081744
0.528485 -0.343531 5.66711 0.41596 -0.0904439
0.562011 -0.367498 5.6576 0.408038 -0.0997778
0.594637 -0.391318 5.64712 0.399671 -0.109834
0.626313 -0.414981 5.6356 0.390883 -0.120711
0.656987 -0.438479 5.62294 0.381697 -0.132524
0.686609 -0.461801 5.60905 0.37214 -0.145401
0.715133 -0.484939 5.59381 0.36224 -0.159489
0.742513 -0.507882 5.5771 0.35203 -0.174955
0.768705 -0.530622 5.55876 0.341541 -0.191989
0.793668 -0.553151 5.53863 0.330813 -0.210806
0.817361 -0.575457 5.51651 0.319885 -0.23165
0.839746 -0.597534 5.49221 0.308802 -0.254792
0.860787 -0.619372 5.46545 0.297614 -0.280531
0.880452 -0.640962 5.43598 0.286374 -0.309194
0.898708 -0.662295 5.40349 0.275144 -0.34112
0.915526 -0.683364 5.36762 0.26399 -0.376653
0.93088 -0.704159 5.328 0.252989 -0.416107
0.944745 -0.724673 5.28423 0.242224 -0.459729
0.957098 -0.744897 5.23589 0.231791 -0.507626
0.96792 -0.764822 5.18254 0.221793 -0.559679
0.977193 -0.784442 5.1238 0.212349 -0.615412
0.984903 -0.803748 5.05933 0.203584 -0.673853
0.991038 -0.822733 4.98895 0.195635 -0.733377
0.995587 -0.841389 4.91266 0.188643 -0.791613
0.998543 -0.859708 4.83073 0.182749 -0.84545
0.999902 -0.877683 4.74379 0.178084 -0.891254
0.999662 -0.895307 4.65282 0.17476 -0.925316
0.997822 -0.912573 4.55917 0.17286 -0.944507
0.994385 -0.929474 4.46443 0.172424 -0.946948
0.989358 -0.946003 4.3703 0.17345 -0.932472
0.982748 -0.962154 4.27841 0.175889 -0.90266
0.974566 -0.97792 4.19014 0.179651 -0.86046
0.964825 -0.993295 4.10656 0.184617 -0.809528
0.953541 -1.00827 4.02836 0.190648 -0.753557
0.940731 -1.02285 3.95588 0.197593 -0.695782
0.926415 -1.03701 3.88915 0.205305 -0.638725
0.910618 -1.05076 3.82802 0.213642 -0.584148
0.893364 -1.06409 3.77218 0.22247 -0.533138
